ranking,club name,country,point score,1 year change
1660,Williamsville Athletic Club,Ivory Coast,1283.0,13.0
1300,WWS Rangers,Zimbabwe,1314.0,6.0
81,Wydad Casablanca,Morocco,1649.0,111.0
1800,Wydad Fès,Morocco,1271.0,10.0
2169,Yadah FC,Zimbabwe,1247.0,63.0
2527,Yafoot FC Yaounde 2,Cameroon,1218.0,179.0
2003,Yobe Desert Stars,Nigeria,1256.0,2.0
2349,Yopougon FC,Ivory Coast,1234.0,39.0
2079,Young Africans,Tanzania,1252.0,0.0
2136,Young Green Eagles,Zambia,1249.0,45.0
911,Young Sport Academy Bamenda,Cameroon,1358.0,108.0
1524,Youssoufia Berrechid,Morocco,1293.0,199.0
1915,Zamfara United FC,Nigeria,1263.0,6.0
871,Zanaco,Zambia,1364.0,155.0
1392,Zarzis,Tunisia,1303.0,164.0
605,ZESCO United,Zambia,1409.0,19.0
2078,Zimbabwe Saints,Zimbabwe,1252.0,0.0
1585,ZPC Kariba,Zimbabwe,1289.0,165.0
2386,Zumunta,Niger,1231.0,34.0
